Cód.,Vinho e Produtor,Preço, Preço CNPJ ,Caixa,Estoque,Classificaçăo,,
2176,Capitel Croce (Anselmi) ," R$ 642,00 "," R$ 436,07 ",6 X 750ml,62,Brancos,,
,,,,,,,,
,Bedin (Veneto),,,,,,,
325,Prosecco Extra Dry (Bedin)," R$ 199,00 "," R$ 134,12 ",6 X 750ml,2,Frisantes e Espumantes,,
,,,,,,,,
,Medici Ermete (Emilia - Romagna),,,,,,,
1452,Lambrusco Bianco Dolce Dell Emilia (Medici Ermete)," R$ 89,00 "," R$ 60,11 ",12 X 750ml,2011,Frisantes e Espumantes,,
1455,Lambrusco Rosso Dolce Dell Emilia (Medici Ermete)," R$ 89,00 "," R$ 60,11 ",12 X 750ml,381,Frisantes e Espumantes,,
1458,Lambrusco Reggiano Concerto (Medici Ermete)," R$ 269,00 "," R$ 181,73 ",6 X 750ml,61,Frisantes e Espumantes,,
2743,Lambrusco Phermento (Medici Ermete) ," R$ 269,00 "," R$ 181,73 ",6 X 750ml,62,Frisantes e Espumantes,,
,,,,,,,,
,San Fabiano Calcinaia (Toscana - Chianti Classico),,,,,,,
472,Chianti Classico (San Fabiano) ," R$ 400,00 "," R$ 270,83 ",6 X 750ml,60,Tintos,,
475,Cerviolo Rosso (San Fabiano)," R$ 925,00 "," R$ 628,65 ",6 X 750ml,47,Tintos,,
2184,Chianti Classico Cellole Gran Selezione (San Fabiano)," R$ 720,00 "," R$ 489,36 ",6 X 750ml,80,Tintos,,
,,,,,,,,
,Straccali (Toscana),,,,,,,
2715,Pinot Grigio (Giulio Straccali)," R$ 154,00 "," R$ 103,94 ",12 X 750ml,918,Brancos,,
2856,Vino Bianco (Giulio Straccali)," R$ 129,00 "," R$ 87,69 ",6 X 750ml,705,Brancos,,
2857,Vino Rosso (Giulio Straccali)," R$ 129,00 "," R$ 87,69 ",6 X 750ml,651,Tintos,,NOVO
2652,Toscana Rosso (Giulio Stracalli)," R$ 154,00 "," R$ 103,33 ",12 X 750ml,1034,Tintos,,NOVO
2858,Chianti (Giulio Straccali)," R$ 190,00 "," R$ 128,78 ",12 X 750ml,148,Tintos,,NOVO
2859,Chianti Classico (Giulio Straccali)," R$ 328,00 "," R$ 222,65 ",6 X 750ml,146,Tintos,,NOVO
,,,,,,,,
,Montevertine (Toscana - Chianti Classico),,,,,,,
2355,Montevertine (Montevertine)," R$ 1.890,00 "," R$ 1.284,56 ",6 X 750ml,50,Tintos,,
2357,Le Pergole Torte (Montevertine)," R$ 4.432,00 "," R$ 3.013,06 ",6 X 750ml,58,Tintos,,
,,,,,,,,
,Folonari (Toscana),,,,,,,
2860,Le Bruniche Chardonnay (Folonari)," R$ 303,00 "," R$ 205,91 ",6 X 750ml,589,Brancos,,NOVO
2861,Villa Nozzole Chianti Classico (Folonari)," R$ 303,00 "," R$ 205,91 ",12 X 750ml,627,Tintos,,NOVO
2862,Nozzole Chianti Classico Riserva (Folonari)," R$ 402,00 "," R$ 272,85 ",12 X 750ml,462,Tintos,,NOVO
2865,Campo Al Mare Bolgheri (Folonari)," R$ 618,00 "," R$ 419,82 ",6 X 750ml,400,Tintos,,NOVO
2863,La Forra Chianti Classico Riserva (Folonari)," R$ 618,00 "," R$ 419,82 ",6 X 750ml,344,Tintos,,NOVO
2864,Cabreo Il Borgo (Folonari)," R$ 1.112,00 "," R$ 755,98 ",6 X 750ml,81,Tintos,,NOVO
,,,,,,,,
,Isole e Olena (Toscana - Chianti Classico),,,,,,,
2793,Chardonnay IGT Toscana (Isole E Olena)," R$ 1.664,00 "," R$ 1.131,41 ",6 X 750ml,109,Brancos,,
2344,Chianti Classico (Isole E Olena)," R$ 615,00 "," R$ 417,84 ",12 X 750ml,174,Tintos,,
2345,Syrah Collezione Privata (Isole E Olena)," R$ 1.505,00 "," R$ 1.023,01 ",6 X 750ml,94,Tintos,,
2346,Cepparello (Isole E Olena)," R$ 2.680,00 "," R$ 1.822,64 ",6 X 750ml,393,Tintos,,
,,,,,,,,
,Caprili (Toscana - Montalcino),,,,,,,
2169,Rosso Di Montalcino Doc (Caprili)," R$ 407,00 "," R$ 275,28 ",12 X 750ml,127,Tintos,,
512,Brunello Di Montalcino (Caprili)," R$ 948,00 "," R$ 644,05 ",12 X 750ml,956,Tintos,,
511,Brunello Di Montalcino Riserva (Caprili)," R$ 2.180,00 "," R$ 1.479,50 ",6 X 750ml,37,Tintos,,
190,Brunello Di Montalcino Magnum (Caprili)," R$ 2.232,00 "," R$ 1.517,61 ",3 X 1500ml,11,Tintos,,
,,,,,,,,
,Salvioni - La Cerbaiola (Toscana - Montalcino),,,,,,,
1064,Rosso Di Montalcino (Salvioni)," R$ 1.946,00 "," R$ 1.323,04 ",6 X 750ml,94,Tintos,,
1013,Brunello Di Montalcino (Salvioni)," R$ 3.544,00 "," R$ 2.408,91 ",6 X 750ml,17,Tintos,,
,,,,,,,,
,Cardčto (Umbria),,,,,,,
1958,Villa Cardeto Pinot Grigio (Cardeto)," R$ 127,00 "," R$ 85,00 ",6 X 750ml,3456,Brancos,,
1957,Villa Cardeto Sangiovese (Cardeto)," R$ 127,00 "," R$ 86,07 ",6 X 750ml,1431,Tintos,,
1976,Villa Cardeto Sangiovese 375Ml (Cardeto)," R$ 82,00 "," R$ 53,52 ",12 X,121,Tintos,,
,,,,,,,,
,Tenuta Castelbuono (Umbria),,,,,,,
1020,Ziggurat Montefalco Rosso (Castelbuono)," R$ 329,00 "," R$ 222,70 ",6 X 750ml,430,Tintos,,
1091,Carapace Montefalco Sagrantino (Castelbuono) ," R$ 657,00 "," R$ 445,37 ",6 X 750ml,39,Tintos,,
,,,,,,,,
,Umani Ronchi (Marche),,,,,,,
2155,Verdicchio Villa Bianchi (Umani Ronchi)," R$ 178,00 "," R$ 119,84 ",6 X 750ml,75,Brancos,,
2156,Verdicchio Casal Di Serra (Umani Ronchi)," R$ 268,00 "," R$ 180,67 ",6 X 750ml,61,Brancos,,
2157,Podere Montepulciano D Abruzzo (Umani Ronchi)," R$ 152,00 "," R$ 102,11 ",6 X 750ml,2281,Tintos,,
2158,Rosso Conero Serrano (Umani Ronchi)," R$ 197,00 "," R$ 132,52 ",6 X 750ml,31,Tintos,,
2159,Rosso Conero San Lorenzo (Umani Ronchi)," R$ 268,00 "," R$ 180,67 ",6 X 750ml,137,Tintos,,
2161,Rosso Conero Cumaro Riserva (Umani Ronchi)," R$ 532,00 "," R$ 360,58 ",6 X 750ml,69,Tintos,,
2162,Pelago (Umani Ronchi)," R$ 839,00 "," R$ 569,19 ",6 X 750ml,90,Tintos,,
2794,Montepulciano D Abruzzo Jorio (Umani Ronchi)," R$ 287,00 "," R$ 194,17 ",6 X 750ml,223,Tintos,,
,,,,,,,,
,Valentini (Abruzzo),,,,,,,
2188,Trebbiano Dabruzzo (Valentini) ," R$ 4.095,00 "," R$ 2.784,60 ",12 X 750ml,53,Brancos,,
,,,,,,,,
,PietraPura (Puglia),,,,,,,
2627,Primitivo Di Manduria Cotis (PietraPura) ," R$ 355,00 "," R$ 240,70 ",6 X,893,Tintos,,
2628,Primitivo Di Manduria Mandus (PietraPura) ," R$ 228,00 "," R$ 154,18 ",6 X,913,Tintos,,
2629,Negroamaro Nterra (PietraPura) ," R$ 138,00 "," R$ 92,28 ",6 X,583,Tintos,,
2630,Primitivo Hyria (PietraPura)," R$ 155,00 "," R$ 104,84 ",6 X,1084,Tintos,,
,,,,,,,,
,Curatolo Arini (Sicilia),,,,,,,
2456,Marsala Fine Semisecco (Curatolo Arini)," R$ 160,00 "," R$ 106,86 ",6 X 750ml,107,Doces e Fortificados,,
2264,Grillo (Curatolo Arini)," R$ 250,00 "," R$ 167,13 ",6 X 750ml,191,Brancos,,
2132,Borgo Selene Grillo (Curatolo Arini)," R$ 143,00 "," R$ 96,18 ",6 X 750ml,119,Brancos,,
2131,Borgo Selene Nero D Avola (Curatolo Arini)," R$ 143,00 "," R$ 96,18 ",6 X 750ml,100,Tintos,,
2263,Nero D Avola (Curatolo Arini)," R$ 250,00 "," R$ 167,13 ",6 X 750ml,225,Tintos,,
2867,Syrah (Curatolo Arini)," R$ 250,00 "," R$ 169,53 ",6 X 750ml,16,Tintos,,NOVO
2868,Sciarra Soprana Nero D’Avola Riserva (Curatolo Arini)," R$ 470,00 "," R$ 319,41 ",6 X 750ml,19,Tintos,,NOVO
,,,,,,,,
,ESPANHA,,,,,,,
,"Reta Espanha (Rioja, Sierra de Salamanca e Marco de Jerez)",,,,,,,
2869,M2 (Reta Marcelo Retamal)," R$ 745,00 "," R$ 506,60 ",6 X 750ml,35,Brancos,,NOVO
2870,Ta Mira (Reta Marcelo Retamal)," R$ 1.080,00 "," R$ 734,40 ",6 X 750ml,25,Brancos,,NOVO
2872,Ta Rraz (Reta Marcelo Retamal)," R$ 889,00 "," R$ 604,52 ",6 X 750ml,174,Tintos,,NOVO
2871,Ta Rilla (Reta Marcelo Retamal)," R$ 1.080,00 "," R$ 734,40 ",6 X 750ml,108,Tintos,,NOVO
,,,,,,,,
,Arzuaga Navarro (Ribera del Duero),,,,,,,
2888,Chardonnay Pago Mota (Bodesgas Arzuaga)," R$ 191,00 "," R$ 129,88 ",12 X 750ml,58,Brancos,,NOVO
2889,Chardonnay Fan D.Oro (Bodegas Arzuaga)," R$ 385,00 "," R$ 261,80 ",6 X 750ml,69,Brancos,,NOVO
1180,La Planta Arzuaga (Bodegas Arzuaga)," R$ 295,00 "," R$ 199,25 ",12 X 750ml,264,Tintos,,
1183,Pago Florentino (Bodegas Arzuaga)," R$ 387,00 "," R$ 261,76 ",12 X 750ml,242,Tintos,,
1178,Arzuaga Crianza (Bodegas Arzuaga)," R$ 598,00 "," R$ 404,99 ",12 X 750ml,210,Tintos,,
1179,Arzuaga Crianza Magnum (Bodegas Arzuaga)," R$ 1.285,00 "," R$ 873,80 ",6 X 1500ml,19,Tintos,,NOVO
1177,Arzuaga Reserva (Bodegas Arzuaga)," R$ 989,00 "," R$ 671,65 ",6 X 750ml,191,Tintos,,
2890,Arzuaga Reserva Magnum (Bodegas Arzuaga)," R$ 2.125,00 "," R$ 1.445,00 ",1 X 750ml,44,Tintos,,NOVO
1175,Arzuaga Gran Reserva (Bodegas Arzuaga)," R$ 2.307,00 "," R$ 1.568,39 ",6 X 750ml,129,Tintos,,
1176,Arzuaga Reserva Especial (Bodegas Arzuaga)," R$ 1.473,00 "," R$ 1.001,86 ",6 X 750ml,73,Tintos,,
,,,,,,,,
,Dominio de Cair (Ribera del Duero),,,,,,,
2442,Cair Cuvee (Dominio De Cair)," R$ 399,00 "," R$ 270,21 ",6 X 750ml,294,Tintos,,
2623,Seleccion La Aguilera (Dominio De Cair)," R$ 613,00 "," R$ 415,31 ",6 X 750ml,89,Tintos,,
2102,Tierra De Cair (Dominio De Cair)," R$ 891,00 "," R$ 605,88 ",6 X 750ml,20,Tintos,,NOVO
,,,,,,,,
,Amaren (Rioja),,,,,,,
2443,Coleccion de Vinedos (Amaren)," R$ 369,00 "," R$ 249,31 ",6 X 750ml,60,Tintos,,
1129,Tempranillo Graciano Angeles (Amaren) ," R$ 474,00 "," R$ 323,22 ",6 X 750ml,11,Tintos,,
287,Tempranillo 60 Reserva (Amaren)," R$ 941,00 "," R$ 639,56 ",6 X 750ml,52,Tintos,,
,,,,,,,,
,Luis Cańas (Rioja),,,,,,,
281,Rioja Branco (Luis Canas)," R$ 163,00 "," R$ 108,95 ",12 X 750ml,804,Brancos,,
282,Luis Canas Bf Barrica Branco ," R$ 315,00 "," R$ 213,26 ",12 X 750ml,1244,Brancos,,
280,Rioja Tinto Maceracion Carbonica (Luis Canas) ," R$ 163,00 "," R$ 109,49 ",12 X 750ml,894,Tintos,,
283,Rioja Tinto Crianza (Luis Canas) ," R$ 298,00 "," R$ 200,43 ",12 X 750ml,13,Tintos,,
1211,Luis Canas Crianza Tinto Magnum ," R$ 619,00 "," R$ 419,76 ",6 X 1500ml,1,Tintos,,
284,Luis Canas Reserva," R$ 440,00 "," R$ 298,09 ",12 X 750ml,85,Tintos,,
285,Luis Canas Reserva Familia," R$ 609,00 "," R$ 413,45 ",6 X 750ml,528,Tintos,,
286,Luis Canas Gran Reserva," R$ 817,00 "," R$ 554,66 ",6 X 750ml,180,Tintos,,
2891,El Palacio (Luis Canas)," R$ 1.110,00 "," R$ 754,80 ",4 X 1500ml,50,Tintos,,NOVO
,,,,,,,,
,Pago de Cirsus (Navarra),,,,,,,
806,Oak Aged Navarra (Pago Cirsus) ," R$ 194,00 "," R$ 130,54 ",12 X 750ml,84,Tintos,,
808,Vendimia Seleccionada Navarra (Pago Cirsus)," R$ 271,00 "," R$ 182,50 ",12 X 750ml,3,Tintos,,
,,,,,,,,
,Rolland Galarreta (Catalunya-Priorat),,,,,,,
2761,Clos D En Ferran Priorat (Rolland Galarreta)," R$ 949,00 "," R$ 644,84 ",6 X 750ml,160,Tintos,,
,,,,,,,,
,Raventós I Blanc (Cataluńa - Conca del Riu Anoia),,,,,,,
434,Blanc De Blancs Brut (Raventos)," R$ 487,00 "," R$ 329,42 ",6 X 750ml,229,Frisantes e Espumantes,,
731,De Nit Rose (Raventos)," R$ 515,00 "," R$ 348,52 ",6 X 750ml,319,Frisantes e Espumantes,,
,,,,,,,,
,Bella Conchi (Cataluńa - Cava),,,,,,,
2090,Bellaconchi Brut Seleccion (Bella Conchi)," R$ 220,00 "," R$ 148,57 ",12 X 750ml,207,Frisantes e Espumantes,,
2091,Bellaconchi Brut Rose (Bella Conchi)," R$ 220,00 "," R$ 147,82 ",12 X 750ml,166,Frisantes e Espumantes,,
2093,Bellaconchi Brut Reserva (Bella Conchi)," R$ 273,00 "," R$ 183,86 ",12 X 750ml,179,Frisantes e Espumantes,,
,,,,,,,,
,Bodegas Muńoz - Artero (La Mancha),,,,,,,
296,Artero Macabeo-Verdejo (Bodegas Munoz) ," R$ 120,00 "," R$ 80,17 ",12 X 750ml,576,Brancos,,
309,Artero Rose (Bodegas Munoz) ," R$ 120,00 "," R$ 80,17 ",12 X 750ml,2688,Roses,,
1278,Legado Munoz Garnacha (Bodegas Munoz) ," R$ 120,00 "," R$ 79,41 ",12 X 750ml,882,Tintos,,
295,Artero Tempranillo (Bodegas Munoz)," R$ 120,00 "," R$ 80,21 ",12 X 750ml,600,Tintos,,
297,Artero Crianza (Bodegas Munoz)," R$ 182,00 "," R$ 122,19 ",12 X 750ml,887,Tintos,,
298,Artero Reserva (Bodegas Munoz)," R$ 229,00 "," R$ 153,96 ",12 X 750ml,109,Tintos,,
299,Coleccion De La Familia (Bodegas Munoz)," R$ 242,00 "," R$ 163,23 ",12 X 750ml,150,Tintos,,
,,,,,,,,
,Bodegas Lozano (La Mancha),,,,,,,
2375,Marques De Toledo Verdejo (Lozano)," R$ 118,00 "," R$ 78,13 ",6 X 750ml,1940,Brancos,,
2376,Marques De Toledo Tempranillo Crianza (Lozano)," R$ 133,00 "," R$ 89,82 ",6 X 750ml,1886,Tintos,,
2515,Marques De Toledo Gran Reserva (Lozano)," R$ 155,00 "," R$ 104,30 ",6 X 750ml,2831,Tintos,,
2377,Rey De Copas Tempranillo (Lozano) ," R$ 79,00 "," R$ 51,94 ",6 X 750ml,8691,Tintos,,
Linha Ophicus,,,,,,,,
2379,Ophicus Brut (Lozano)," R$ 83,00 "," R$ 54,40 ",6 X 750ml,14306,Frisantes e Espumantes,,
2500,Ophicus Rose (Lozano)," R$ 83,00 "," R$ 54,40 ",6 X 750ml,15106,Frisantes e Espumantes,,
,,,,,,,,
,PORTUGAL,,,,,,,
,Domingos Alves de Sousa (Douro),,,,,,,
2737,Caldas Porto Tawny Special Reserve (Alves de Sousa)," R$ 335,00 "," R$ 227,49 ",6 X 750ml,27,Doces e Fortificados,,
968,Quinta da Gaivosa Porto LBV (Alves de Sousa) ," R$ 480,00 "," R$ 326,19 ",6 X 750ml,81,Doces e Fortificados,,
2735,Quinta da Gaivosa Porto Vintage (Alves de Sousa)," R$ 1.095,00 "," R$ 743,20 ",6 X 750ml,158,Doces e Fortificados,,
945,Estacao Branco (Alves De Sousa) ," R$ 140,00 "," R$ 94,28 ",12 X 750ml,365,Brancos,,
948,Quinta da Gaivosa Branco (Alves De Sousa)," R$ 302,00 "," R$ 205,04 ",6 X 750ml,322,Brancos,,
942,Estacao Tinto (Alves De Sousa) ," R$ 140,00 "," R$ 94,28 ",12 X 750ml,149,Tintos,,
940,Quinta das Caldas (Alves De Sousa)," R$ 179,00 "," R$ 121,12 ",12 X 750ml,263,Tintos,,
983,Quinta das Caldas 375Ml (Alves De Sousa) ," R$ 116,00 "," R$ 77,94 ",24 X 375ml,29,Tintos,,
891,Caldas Reserva (Alves De Sousa)," R$ 370,00 "," R$ 250,99 ",6 X 750ml,58,Tintos,,
943,Quinta do Vale da Raposa Reserva (Alves De Sousa)," R$ 243,00 "," R$ 163,75 ",6 X 750ml,546,Tintos,,
939,Quinta do Vale da Raposa Touriga Nacional (Alves De Sousa)," R$ 704,00 "," R$ 477,11 ",6 X 750ml,20,Tintos,,
944,Quinta Da Gaivosa Tinto (Alves De Sousa)," R$ 912,00 "," R$ 619,92 ",6 X 750ml,746,Tintos,,
2573,Gaivosa Primeiros Anos (Alves De Sousa)," R$ 330,00 "," R$ 224,52 ",6 X 750ml,384,Tintos,,
2750,Quinta da Oliveirinha Reserva (Alves de Sousa)," R$ 314,00 "," R$ 211,90 ",6 X 750ml,306,Tintos,,
2751,Quinta da Oliveirinha Grande Reserva (Alves de Sousa)," R$ 630,00 "," R$ 428,26 ",6 X 750ml,60,Tintos,,
991,Abandonado (Alves De Sousa) ," R$ 1.795,00 "," R$ 1.220,18 ",6 X 750ml,236,Tintos,,
2831,Memoria Douro Tinto (Alves de Sousa) ," R$ 5.136,00 "," R$ 3.492,20 ",1 X 750ml,116,Tintos,,
,,,,,,,,
,Anselmo Mendes (Minho - Vinho Verde),,,,,,,
1474,Muros Antigos Escolha (Anselmo Mendes)," R$ 163,00 "," R$ 110,16 ",6 X 750ml,1524,Brancos,,
981,Loureiro Muros Antigos (Anselmo Mendes)," R$ 183,00 "," R$ 122,58 ",6 X 750ml,1134,Brancos,,
1473,Alvarinho Contacto (Anselmo Mendes)," R$ 312,00 "," R$ 211,27 ",6 X,397,Brancos,,
966,Alvarinho Muros Antigos (Anselmo Mendes)," R$ 312,00 "," R$ 211,27 ",6 X 750ml,596,Brancos,,
965,Alvarinho Muros Melgaco (Anselmo Mendes)," R$ 449,00 "," R$ 304,10 ",6 X 750ml,726,Brancos,,
1005,Alvarinho Curtimenta (Anselmo Mendes)," R$ 760,00 "," R$ 514,63 ",6 X 750ml,79,Brancos,,
1571,Parcela Unica (Anselmo Mendes)," R$ 760,00 "," R$ 514,63 ",6 X 750ml,208,Brancos,,
2115,Pardusco Tinto (Anselmo Mendes)," R$ 225,00 "," R$ 152,42 ",6 X 750ml,534,Tintos,,
2571,Pardusco Prvt Escolha (Anselmo Mendes)," R$ 520,00 "," R$ 352,99 ",6 X 750ml,87,Tintos,,
,,,,,,,,
,Quinta dos Roques (Dăo),,,,,,,
986,Quinta Do Correio Branco (Roques) ," R$ 118,00 "," R$ 79,52 ",12 X 750ml,1645,Brancos,,
2832,Quinta Dos Roques Colheita Branco (Roques)," R$ 242,00 "," R$ 164,39 ",12 X 750ml,347,Brancos,,
903,Quinta Dos Roques Encruzado Branco (Roques) ," R$ 348,00 "," R$ 236,41 ",12 X 750ml,281,Brancos,,
2884,Quinta do Correio Rose (Roques)," R$ 118,00 "," R$ 79,52 ",12 X 750ml,888,Roses,,NOVO
985,Quinta Do Correio Tinto (Roques) ," R$ 118,00 "," R$ 79,52 ",12 X 750ml,3231,Tintos,,
908,Quinta Dos Roques Tinto (Roques) ," R$ 242,00 "," R$ 164,39 ",12 X 750ml,319,Tintos,,
907,Quinta Dos Roques Reserva (Roques) ," R$ 550,00 "," R$ 373,29 ",12 X 750ml,26,Tintos,,
905,Quinta Dos Roques Touriga Nacional (Roques)," R$ 685,00 "," R$ 466,40 ",12 X 750ml,152,Tintos,,
1864,Quinta Dos Roques Garrafeira (Roques) ," R$ 1.307,00 "," R$ 888,76 ",12 X 750ml,115,Tintos,,
,,,,,,,,
,Falua - Conde de Vimioso (Tejo),,,,,,,
1799,Conde Vimioso Branco (Falua)," R$ 129,00 "," R$ 86,33 ",6 X 750ml,195,Brancos,,
2631,Conde Vimioso Sommelier Branco (Falua)," R$ 215,00 "," R$ 143,97 ",6 X 750ml,179,Brancos,,
2708,Conde Vimioso Reserva Branco (Falua) ," R$ 460,00 "," R$ 311,40 ",6 X 750ml,224,Brancos,,
1315,Conde Vimioso Rose (Falua) ," R$ 129,00 "," R$ 86,33 ",6 X 750ml,686,Roses,,
2707,Conde Vimioso Sommelier Rosé (Falua)," R$ 215,00 "," R$ 144,18 ",6 X 750ml,427,Roses,,
1314,Conde Vimioso Tinto (Falua)," R$ 129,00 "," R$ 86,33 ",6 X,457,Tintos,,
2532,Conde Vimioso Sommelier Tinto (Falua)," R$ 215,00 "," R$ 143,97 ",6 X 750ml,1810,Tintos,,
1316,Conde Vimioso Reserva (Falua)," R$ 460,00 "," R$ 310,86 ",6 X 750ml,335,Tintos,,
2788,Conde Vimioso Sommelier Edition Brasil Tinto (Falua)," R$ 215,00 "," R$ 145,15 ",6 X 750ml,1395,Tintos,,
2784,Conde Vimioso Sommelier Edition Tinto Magnum (Falua) ," R$ 577,00 "," R$ 391,79 ",4 X 1500ml,36,Tintos,,
2800,Conde Vimioso Winemakers Blend Tinto (Falua)," R$ 1.190,00 "," R$ 807,63 ",3 X 750ml,96,Tintos,,
2632,Conde Vimioso Vinha Do Convento (Falua)," R$ 2.962,00 "," R$ 2.013,62 ",6 X 750ml,22,Tintos,,
Linha Tâmara,,,,,,,,
2534,Tâmara Branco (Falua)," R$ 88,00 "," R$ 58,62 ",6 X 750ml,3959,Brancos,,
2533,Tâmara Tinto (Falua)," R$ 88,00 "," R$ 58,62 ",6 X 750ml,5112,Tintos,,
,,,,,,,,
,Kompassus (Bairrada),,,,,,,
2449,Kompassus Branco (Kompassus)," R$ 191,00 "," R$ 129,37 ",6 X 750ml,214,Brancos,,
1985,Kompassus Reserva Branco (Kompassus)," R$ 332,00 "," R$ 225,87 ",6 X 750ml,99,Brancos,,
1986,Kompassus Tinto (Kompassus)," R$ 191,00 "," R$ 127,90 ",6 X 750ml,306,Tintos,,
1987,Kompassus Reserva Tinto (Kompassus)," R$ 332,00 "," R$ 225,43 ",6 X 750ml,58,Tintos,,
1988,Kompassus Private Collection (Kompassus) ," R$ 997,00 "," R$ 676,15 ",6 X 750ml,109,Tintos,,
,,,,,,,,
,José Maria da Fonseca (Setubal),,,,,,,
2139,Alambre Moscatel De Setubal (Jmf)," R$ 198,00 "," R$ 133,33 ",6 X 750ml,831,Doces e Fortificados,,
2451,Alambre Moscatel Roxo De Setubal (Jmf) ," R$ 299,00 "," R$ 202,22 ",6 X 750ml,0,Doces e Fortificados,,
2142,Dsf Moscatel Roxo (Jmf) ," R$ 514,00 "," R$ 349,03 ",6 X 750ml,33,Doces e Fortificados,,
2138,Alambre 20 Anos 500Ml (Jmf)," R$ 650,00 "," R$ 441,02 ",6 X 500ml,73,Doces e Fortificados,,
2144,Moscatel Roxo 20 Anos 500Ml (Jmf)," R$ 2.505,00 "," R$ 1.703,13 ",2 X 500ml,41,Doces e Fortificados,,
2351,Bse Branco (Jmf)," R$ 159,00 "," R$ 107,23 ",6 X 750ml,1130,Brancos,,
2552,Verdelho Dsf (Jmf) ," R$ 207,00 "," R$ 139,72 ",6 X 750ml,172,Brancos,,
2717,DSF Roxo Rosę (Jmf)," R$ 239,00 "," R$ 162,17 ",6 X 750ml,161,Roses,,
2601,Hexagon Tinto (Jmf)," R$ 2.030,00 "," R$ 1.380,03 ",3 X 750ml,146,Tintos,,
,,,,,,,,
,Adega José de Sousa (Alentejo),,,,,,,
2763,Artisanal Branco (Adega Jose de Sousa))," R$ 117,00 "," R$ 79,24 ",6 X 750ml,641,Brancos,,
2764,Artisanal Tinto (Adega Jose de Sousa)," R$ 117,00 "," R$ 79,24 ",6 X 750ml,593,Tintos,,
2765,Artisanal Tinto Reserva (Adega Jose de Sousa)," R$ 156,00 "," R$ 105,91 ",6 X 750ml,830,Tintos,,
2222,Ripanco Tinto (Adega Jose de Sousa)," R$ 198,00 "," R$ 133,64 ",6 X 750ml,257,Tintos,,
